Date,AAPL,MSFT,NVDA,TSLA,^GSPC
2022-10-18,99136600,26329600,659362000,75891900,4483740000
2022-10-19,61758300,19985700,523131000,66571500,4223800000
2022-10-20,64522000,21811000,652398000,117798100,4496620000
2022-10-21,86548600,26299700,609494000,75713800,5078020000
2022-10-24,75981900,24911200,517457000,100446800,4747930000
2022-10-25,74732300,34775500,505482000,96507900,4843120000
2022-10-26,88194300,82543200,532953000,85012500,4817310000
2022-10-27,109180200,40424600,583113000,61638800,4687320000
2022-10-28,164762400,40647700,521040000,69152400,4459410000
2022-10-31,97943200,28357300,486341000,61554300,4820620000
2022-11-01,80379300,30592300,432817000,62688800,4481210000
2022-11-02,93604600,38407000,672628000,63070300,4899000000
2022-11-03,97918500,36633900,500065000,56538800,4625290000
2022-11-04,140814800,36789100,612576000,98622200,5400180000
2022-11-07,83374600,33498000,410061000,93916500,4341620000
2022-11-08,89908500,28192500,595292000,128803400,4607640000
2022-11-09,74917800,27852900,454414000,127062700,4645010000
2022-11-10,118854000,46268000,700819000,132703000,5781260000
2022-11-11,93979700,34620200,655487000,114403600,5593310000
2022-11-14,73374100,31123300,527852000,92226600,4561930000
2022-11-15,89868300,31390100,545876000,91293800,5015310000
2022-11-16,64218300,24093300,649547000,66567600,4165320000
2022-11-17,80389400,23123500,710894000,64336000,4051780000
2022-11-18,74829600,27613500,492072000,76048900,4037360000
2022-11-21,58724100,26394700,404739000,92882700,3850690000
2022-11-22,51804100,19665700,472866000,78452300,3887990000
2022-11-23,58301400,19508500,427241000,109536700,3279720000
2022-11-25,35195900,9200800,167934000,50672700,1706460000
2022-11-28,69246000,24778200,303741000,92905200,3615430000
2022-11-29,83763800,17956300,298384000,83357100,3546040000
2022-11-30,111380900,47594200,565298000,109186400,6579360000
2022-12-01,71250400,26041500,470977000,80046200,4527130000
2022-12-02,65447400,21528500,371389000,73645900,4012620000
2022-12-05,68826400,23435300,352255000,93122700,4280820000
2022-12-06,64727200,22463700,352694000,92150800,4368380000
2022-12-07,69721100,20481500,372388000,84213300,4118050000
2022-12-08,62128300,22611800,515456000,97624500,4006900000
2022-12-09,76097000,20609700,465338000,104872300,3888260000
2022-12-12,70462700,30665100,457328000,109794500,3904130000
2022-12-13,93886200,42196900,656589000,175862700,5079360000
2022-12-14,82291200,35410900,496888000,140682300,4472340000
2022-12-15,98931900,35560400,478542000,122334500,4493900000
2022-12-16,160156900,86102000,478232000,139032200,7493660000
2022-12-19,79592600,29696400,354039000,139390600,3969610000
2022-12-20,77432800,25150800,403260000,159563300,3985370000
2022-12-21,85928000,23690600,325025000,145417400,3775200000
2022-12-22,77852100,28651700,565045000,210090300,3956950000
2022-12-23,63814900,21207000,349326000,166989700,2819280000
2022-12-27,69007800,16688600,464902000,208643400,3030300000
2022-12-28,85438400,17457100,351066000,221070500,3083520000
2022-12-29,75703700,19770700,354923000,221923300,3003680000
2022-12-30,77034200,21938500,310490000,157777300,2979870000
2023-01-03,112117500,25740000,401277000,231402800,3959140000
2023-01-04,89113600,50623400,431324000,180389000,4414080000
2023-01-05,80962700,39585600,389168000,157986300,3893450000
2023-01-06,87754700,43613600,405044000,220911100,3923560000
2023-01-09,70790800,27369800,504231000,190284000,4311770000
2023-01-10,63896200,27033900,384101000,167642500,3851030000
2023-01-11,69458900,28669300,353285000,183810800,4303360000
2023-01-12,71379600,27269500,551409000,169400900,4440260000
2023-01-13,57809700,21333300,447287000,180714100,3939700000
2023-01-17,63646600,29831300,511102000,186477000,4235560000
2023-01-18,69672800,30028700,439624000,195680300,4298710000
2023-01-19,58280400,28623000,452932000,170291900,3991500000
2023-01-20,80223600,35389800,564967000,138858100,4013360000
2023-01-23,81760300,31934000,655163000,203119200,3945210000
2023-01-24,66435100,40234400,496204000,158699100,3320430000
2023-01-25,65799300,66526600,449537000,192734300,3724020000
2023-01-26,54105100,33454500,489535000,234815100,3809590000
2023-01-27,70555800,26498900,542142000,306590600,3907760000
2023-01-30,64015300,25867400,488611000,230878800,3802000000
2023-01-31,65874500,26541100,498017000,196813500,4679320000
2023-02-01,77663600,31259900,660477000,213806300,4856930000
2023-02-02,118339000,39940400,564276000,217448300,5624360000
2023-02-03,154357300,29077300,429366000,232662000,4694510000
2023-02-06,69858300,22518000,452197000,186188100,4114240000
2023-02-07,83322600,50841400,664150000,186010300,4355860000
2023-02-08,64120100,54686000,559651000,180673600,4029820000
2023-02-09,56007100,42375100,523876000,215431400,4270200000
2023-02-10,57450700,25818500,550737000,204754100,3891520000
2023-02-13,62199000,44630900,474919000,172475500,3448620000
2023-02-14,61707600,37047900,675474000,216455700,3929200000
2023-02-15,65573800,28922400,420575000,181006400,4075980000
2023-02-16,68167900,29603600,412026000,229586500,4143660000
2023-02-17,59144100,30000100,465888000,213738500,4045480000
2023-02-21,58867200,28397400,410015000,180018600,4121590000
2023-02-22,51011300,22491100,513184000,191828500,4079320000
2023-02-23,48394200,29219100,1117995000,146360000,3952940000
2023-02-24,55469600,24990900,589716000,142228100,3877700000
2023-02-27,44998500,21190000,452994000,161028300,3836950000
2023-02-28,50547000,22491000,455963000,153144900,5043400000
2023-03-01,55479000,27565300,460026000,156852800,4249480000
2023-03-02,52238100,24808200,389415000,181500700,4244900000
2023-03-03,70732300,30760100,412393000,154193300,4084730000
2023-03-06,87558000,24109800,437429000,128100100,4000870000
2023-03-07,56182000,21473200,515154000,148125800,3922500000
2023-03-08,47204800,17340200,513573000,151897800,3535570000
2023-03-09,53833600,26653400,501257000,170023800,4445260000
2023-03-10,68572400,28333900,474866000,191488900,5518190000
2023-03-13,84457100,33339700,421890000,167790300,6558020000
2023-03-14,73695900,33620300,474910000,143717900,5665870000
2023-03-15,77167900,46028000,524486000,145995600,6594010000
2023-03-16,76161100,54768800,583253000,121136800,5695790000
2023-03-17,98944600,69527400,848547000,133197100,9354280000
2023-03-20,73641400,43466600,432747000,129684400,5347140000
2023-03-21,73938300,34558700,547408000,153391400,4920240000
2023-03-22,75701800,34873300,797295000,150376400,4533010000
2023-03-23,67622100,36610900,564889000,144193900,4991600000
2023-03-24,59196500,28172000,454920000,116312400,4583970000
2023-03-27,52390300,26840200,361026000,120851600,4233540000
2023-03-28,45992200,21878600,356104000,98654600,4014600000
